Course,Spring 25,Winter 25,Fall 24,Spring 24,Winter 24,Fall 23,Spring 23,Winter 23,Fall 22,Spring 22,Winter 22,Fall 21
MATH 101,1,1,1,1,1,1,0,1,1,0,1,1
MATH 111,1,1,1,1,1,1,0,1,1,0,1,1
MATH 210,1,1,1,1,1,1,1,1,1,1,1,1
MATH 211,1,1,1,1,1,1,1,1,1,1,1,1
MATH 120,1,1,1,1,1,1,1,1,1,1,1,1
MATH 134,1,0,1,0,0,0,0,0,0,0,0,0
MATH 232,1,1,1,1,1,1,1,1,1,1,1,1
MATH 236,1,1,1,1,1,1,1,1,1,1,1,1
MATH 240,0,1,1,0,1,1,0,1,1,0,1,1
MATH 241,1,1,1,1,1,0,1,1,1,1,1,0
MATH 244,0,0,0,0,0,1,0,0,0,1,0,0
MATH 251,0,1,0,0,0,0,0,1,0,0,0,0
MATH 271,1,0,0,0,1,0,0,1,0,0,0,1
MATH 282,0,0,0,0,1,0,0,0,1,0,0,0
MATH 295,0,0,1,1,0,0,0,0,0,1,0,1
MATH 321,0,1,0,1,0,1,0,1,0,1,1,0
MATH 331,1,0,0,0,0,0,1,0,0,0,1,0
MATH 332,0,0,0,0,0,1,0,0,0,0,0,1
MATH 333,0,1,0,0,0,0,0,0,0,0,0,0
MATH 341,1,0,0,1,0,0,1,0,0,1,0,0
MATH 342,1,0,1,0,1,0,1,0,1,0,1,0
MATH 344,0,0,1,0,0,0,0,0,1,0,0,0
MATH 349,0,0,0,0,0,1,0,0,0,0,1,0
MATH 352,0,0,0,1,0,0,0,1,0,1,0,0
MATH 354,0,0,0,0,1,0,0,0,0,0,1,0
MATH 361,0,0,0,0,1,0,0,0,0,1,0,0
MATH 395,0,1,0,0,0,0,1,0,1,0,1,0
STAT 250,1,1,0,1,1,0,1,1,0,1,1,0
STAT 320,1,0,0,0,0,1,0,0,0,0,1,1
STAT 340,0,0,0,0,0,0,0,0,1,0,0,1
