Course,F 2024,S 2024,F 2023,S 2023,F 2022,S 2022,F 2021
Math 111,1,1,1,1,1,1,1
Math 112,1,1,1,1,1,1,1
Math 213,1,1,1,1,1,1,1
Math 222,1,1,1,1,1,1,1
Math 224,1,1,1,1,1,1,1
COMP 118,1,1,1,1,1,1,1
STAT 106,1,1,1,1,1,1,1
Math 480,1,1,1,1,1,1,1
Math 335,0,0,0,0,0,0,1
Math 435,0,1,0,0,0,1,0
Math 327,1,0,0,0,0,0,0
Math 328,0,1,0,0,0,0,0
Math 322,0,0,0,0,0,0,0
Math 341,1,0,0,0,1,0,0
Math 441,0,0,0,1,0,0,0
Math 360,0,1,1,0,0,1,0
Math 230,1,0,0,0,0,0,1
Math 352,0,0,1,1,0,0,0
Math 336,1,0,0,0,0,0,1
Math 233,0,0,0,0,0,0,0
Math 258,0,0,0,0,0,0,0
Math 325,0,1,0,0,0,0,0
Math 330,0,0,0,0,0,0,0
Math 333,0,0,0,0,1,0,0
Math 347,1,0,0,1,0,0,1
COMP 218,1,0,0,0,0,0,0
STAT 206,1,0,1,1,0,1,0
STAT 436,0,1,0,0,1,0,1
STAT 416,0,0,0,0,0,0,0
STAT 216,0,0,1,1,0,1,0
STAT 226,0,0,0,0,0,0,0
STAT 306,0,1,0,0,1,0,1
