Course,F 2024,S 2024,F 2023,S 2023,F 2022,S 2022,F 2021
MATH 015,1,0,1,0,1,0,1
MATH 025,1,1,1,1,1,1,1
MATH 027,1,1,1,1,1,1,1
MATH 033,1,1,1,1,1,1,1
MATH 034,1,1,1,1,1,1,1
MATH 035,1,1,1,1,1,1,1
MATH 039,1,1,1,1,1,1,0
MATH 043,0,1,0,1,0,1,0
MATH 044,1,1,0,1,0,1,0
MATH 046,1,0,0,0,0,1,0
MATH 053,0,0,0,0,0,0,0
MATH 054,0,0,0,1,0,0,0
MATH 055,0,0,0,0,0,0,0
MATH 056,0,1,0,0,0,1,0
MATH 057,0,0,0,0,0,0,0
MATH 058,0,0,1,0,0,0,1
MATH 063,1,0,1,0,1,0,1
MATH 064,0,0,0,0,0,0,0
MATH 065,1,0,0,0,0,0,0
MATH 066,1,0,1,0,1,0,1
MATH 067,0,1,0,1,0,1,0
MATH 069,1,0,0,0,1,0,0
MATH 073,0,0,0,1,0,0,0
MATH 077,0,1,1,0,0,1,0
MATH 083,0,0,0,0,0,0,0
STAT 041,0,0,0,0,1,0,0
STAT 051,0,1,0,1,0,1,0
STAT 061,1,0,1,0,1,0,1
STAT 071,0,0,0,0,0,0,0
