Course,Prereq1,Prereq2
MATH 101,,
MATH 111,,
MATH 120,MATH 101,
MATH 134,,
MATH 210,MATH 120,
MATH 211,,
MATH 232,MATH 120,
MATH 236,MATH 134,MATH 210
MATH 240,MATH 120,
MATH 241,MATH 134,MATH 120
MATH 244,MATH 236,
MATH 251,MATH 236,
MATH 271,MATH 134,MATH 120
MATH 282,MATH 236,
MATH 295,MATH 124,
MATH 321,MATH 236,MATH 210
MATH 331,MATH 321,
MATH 332,MATH 236,
MATH 333,MATH 236,
MATH 341,MATH 241,
MATH 342,MATH 236,
MATH 344,MATH 236,
MATH 349,,
MATH 352,MATH 342,
MATH 354,MATH 236,
MATH 361,MATH 321,
MATH 395,MATH 321,
STAT 250,MATH 240,
STAT 320,STAT 250,STAT 230
STAT 230,STAT 250,
STAT 340,STAT 250,
