Course,F 2024,S 2024,F 2023,S 2023,F 2022,S 2022,F 2021
Math 130,1,1,1,1,1,1,1
Math 135,1,1,1,1,1,1,1
Math 145,1,1,1,1,1,1,1
Math 213,1,1,1,1,1,1,1
Math 220,1,1,1,1,1,1,1
Math 300,1,1,1,1,1,1,1
Math 395,0,1,1,1,1,1,1
CS 100,1,1,1,1,1,1,1
Math 400,0,0,0,0,1,0,0
Math 410,0,1,0,0,0,0,1
Math 413,0,0,0,0,0,0,0
Math 440,1,0,1,0,1,1,0
Math 445,0,0,1,0,0,0,0
Math 447,0,0,0,1,0,0,0
Math 415,0,0,0,0,0,0,0
Math 420,0,0,0,0,0,0,1
Math 422,1,0,0,0,1,0,0
Math 425,0,0,1,0,0,1,0
Math 430,0,0,0,0,0,0,0
Math 434,0,0,0,1,0,0,0
Math 435,0,0,0,1,0,0,0
