Course,Prereq1,Prereq2,Prereq3
MATH 133,,,
MATH 134,MATH 133,,
MATH 220,MATH 133,,
MATH 231,MATH 134,,
MATH 232,MATH 220 or 231,,
MATH 234,MATH 231,,
MATH 301,MATH 220 ,MATH 231,
MATH 302,MATH 301,,
MATH 317,MATH 220,MATH 232,
MATH 318,MATH 220,,
MATH 320,MATH 220,MATH 232,
MATH 327,MATH 220,MATH 232,
MATH 328,MATH 231,MATH 232,
MATH 329,MATH 327,,
MATH 331,MATH 220,MATH 232,
MATH 332,MATH 213,MATH 232,
MATH 335,MATH 231,,
MATH 338,MATH 335,,
MATH 342,MATH 220,,
MATH 343,MATH 317 or 327 or 328 or 329 or 335,,
MATH 350,MATH 232,,
MATH 353,MATH 301 or 327,,
MATH 354,MATH 301,MATH 353,
MATH 356,MATH 301,,
MATH 357,MATH 301,,
MATH 358,MATH 301,,
MATH 370,MATH 220,,
MATH 397,CSCI 150,MATH 2XX,MATH 2XX
STAT 113,,,
STAT 205,,,
STAT 209,STAT 205 or 213,,
STAT 213,STAT 113,,
STAT 237,MATH 133,,
STAT 336,MATH 232,MATH 335,
MATH 339,CSCI 150,MATH 231,
