Course,F 2024,S 2024,F 2023,S 2023,F 2022,S 2022,F 2021
MATH 133,1,1,1,1,1,1,1
MATH 134,1,1,1,1,1,1,1
MATH 220,1,1,1,1,1,1,1
MATH 231,1,1,1,1,1,1,1
MATH 232,1,1,1,1,1,1,1
MATH 301,1,1,1,1,1,1,1
MATH 327,1,1,1,1,1,1,1
CSCI 150,1,1,1,1,1,1,1
MATH 318,0,0,0,1,0,0,0
MATH 320,0,0,0,0,0,0,0
MATH 331,1,0,0,0,1,0,0
MATH 332,0,0,1,0,0,0,0
MATH 335,1,0,1,0,0,0,1
MATH 338,0,1,0,0,0,0,0
MATH 342,0,0,1,0,0,0,0
MATH 343,0,0,0,0,0,1,0
MATH 397,0,0,0,0,0,0,0
STAT 336,0,0,0,0,0,0,0
STAT 339,0,0,0,0,0,0,1
MATH 302,0,0,0,0,1,0,0
MATH 317,1,0,0,0,1,0,0
MATH 328,1,0,0,1,0,0,0
MATH 329,0,0,1,0,0,0,1
MATH 350,0,0,0,1,0,0,0
MATH 353,1,0,1,0,0,0,1
MATH 354,0,0,0,0,0,0,0
MATH 356,0,0,0,1,0,0,0
MATH 357,0,1,0,0,0,1,0
MATH 358,0,0,0,0,0,0,0
MATH 370,0,1,0,0,0,0,0
STAT 378,0,0,0,0,0,0,0
MATH 234,0,0,0,0,1,0,1
STAT 205,1,0,1,0,1,0,1
STAT 209,1,1,0,0,0,0,0
STAT 213,0,1,0,1,0,1,0
STAT 237,1,0,0,0,0,1,0
STAT 113,1,1,1,1,1,1,1
