Course ,S 2025,J 2025,F 2024,S 2024,J 2024,F 2023,S 2023,J 2023,F 2022,S 2022,J 2022,F 2021
MATH 120,1,1,1,1,1,1,1,1,1,1,1,1
MATH 126,1,0,1,1,0,1,1,0,1,1,0,1
MATH 220,1,1,1,1,1,1,1,1,1,1,1,1
MATH 242,1,0,1,1,0,0,1,0,0,1,0,0
MATH 244,1,0,1,1,0,1,1,0,1,1,0,1
MATH 252,1,0,1,1,0,1,1,0,1,1,0,1
MATH 226,1,0,1,1,0,1,1,0,1,1,0,1
MATH 230,1,0,1,1,0,1,1,0,1,1,0,1
MATH 234,1,0,1,1,1,1,0,1,0,0,0,0
MATH 236,1,0,0,0,0,0,1,0,0,1,0,0
MATH 239,0,1,0,0,1,0,0,0,0,0,1,0
MATH 244,1,0,1,1,0,1,1,0,1,1,0,1
MATH 257,0,0,0,0,1,0,0,0,0,0,1,0
MATH 261,0,1,0,0,0,0,0,0,0,0,0,0
MATH 262,1,0,1,1,0,1,0,0,1,1,0,1
MATH 266,0,0,0,0,0,0,0,0,1,0,0,0
MATH 320,0,0,0,0,0,1,0,0,0,0,0,1
MATH 330,1,0,1,0,0,1,0,0,1,0,0,1
MATH 332,0,0,1,0,0,0,0,0,1,0,0,0
MATH 340,1,0,0,1,0,0,1,0,0,1,0,0
MATH 344,0,0,0,0,0,1,0,0,0,0,0,1
MATH 348,0,0,1,0,0,0,0,0,1,0,0,0
MATH 352,1,0,0,0,0,0,1,0,0,0,0,0
MATH 356,0,1,0,0,1,0,0,1,0,0,1,0
MATH 364,0,0,0,1,0,0,0,0,0,0,0,0
