Course,Prereq1,Prereq2
MATH 015,,
MATH 025,MATH 015,
MATH 027,MATH 025,
MATH 033,MATH 025,
MATH 034,MATH 025,
MATH 035,MATH 025,MATH 027
MATH 039,MATH 025,
MATH 043,MATH 033,
MATH 044,MATH 027,MATH 033
MATH 053,MATH 033,
MATH 054,MATH 027,MATH 043
MATH 055,MATH 027,MATH 033
MATH 056,MATH 027,MATH 043
MATH 057,MATH 027,
MATH 058,MATH 027,
MATH 063,MATH 027,MATH 033
MATH 064,MATH 027,MATH 034
MATH 065,MATH 027,MATH 033
MATH 066,MATH 027,MATH 043
MATH 067,MATH 027,
MATH 069,MATH 039,
MATH 073,MATH 063,
MATH 077,MATH 067,
MATH 083,MATH 063,
STAT 041,STAT 061,
STAT 051,MATH 033,
STAT 061,STAT 051,MATH 027
STAT 071,STAT 051,
