Course,Prereq1,Prereq2,Prereq3
MATH 115,,,
MATH 116,MATH 115,,
MATH 203,MATH 116,,
MATH 205,MATH 116,,
MATH 206,MATH 205,,
MATH 215,MATH 116,,
MATH 220,MATH 205,,
MATH 223,MATH 116,,
MATH 225,MATH 116,,
MATH 302,MATH 205,MATH 206,
MATH 303,MATH 302,,
MATH 305,MATH 206,,
MATH 306,MATH 305,,
MATH 307,MATH 302,,
MATH 309,MATH 302,,
MATH 310,MATH 302,,
MATH 312,MATH 302,,
MATH 314,MATH 302,,
MATH 316,MATH 305,,
MATH 322,MATH 305,,
MATH 325,MATH 225,MATH 302,
MATH 326,MATH 225,,
MATH 340,MATH 302,MATH 305,
MATH 349,MATH 302,,
STAT 218,,,
STAT 221,MATH 220,,
STAT 228,MATH 205,STAT 218,
STAT 260,STAT 218,,
STAT 320,MATH 205,STAT 218,
STAT 318,STAT 218,MATH 205,MATH 206
